SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
444,180,45,12,0,10,0,0,10,6
445,180,45,12,0,20,0,0,10,6
446,180,45,12,0,30,0,0,10,6
447,-150,-30,18,0,-30,0,0,10,6
448,-150,-30,18,0,-20,0,0,10,6
449,-150,-30,18,0,-10,0,0,10,6
450,-150,-30,18,0,0,0,0,10,6
451,-150,-30,18,0,10,0,0,10,6
452,-150,-30,18,0,20,0,0,10,6
453,-150,-30,18,0,30,0,0,10,6
454,-150,30,18,0,-30,0,0,10,6
455,-150,30,18,0,-20,0,0,10,6
456,-150,30,18,0,-10,0,0,10,6
457,-150,30,18,0,0,0,0,10,6
458,-150,30,18,0,10,0,0,10,6
459,-150,30,18,0,20,0,0,10,6
460,-150,30,18,0,30,0,0,10,6
461,-135,0,18,0,-30,0,0,10,6
462,-135,0,18,0,-20,0,0,10,6
463,-135,0,18,0,-10,0,0,10,6
464,-135,0,18,0,0,0,0,10,6
465,-135,0,18,0,10,0,0,10,6
466,-135,0,18,0,20,0,0,10,6
467,-135,0,18,0,30,0,0,10,6
468,-90,0,18,0,-30,0,0,10,6
469,-90,0,18,0,-20,0,0,10,6
470,-90,0,18,0,-10,0,0,10,6
471,-90,0,18,0,0,0,0,10,6
472,-90,0,18,0,10,0,0,10,6
473,-90,0,18,0,20,0,0,10,6
474,-90,0,18,0,30,0,0,10,6
475,-60,-45,18,0,-30,0,0,10,6
476,-60,-45,18,0,-20,0,0,10,6
477,-60,-45,18,0,-10,0,0,10,6
478,-60,-45,18,0,0,0,0,10,6
479,-60,-45,18,0,10,0,0,10,6
480,-60,-45,18,0,20,0,0,10,6
481,-60,-45,18,0,30,0,0,10,6
482,-60,0,18,0,-30,0,0,10,6
483,-60,0,18,0,-20,0,0,10,6
484,-60,0,18,0,-10,0,0,10,6
485,-60,0,18,0,0,0,0,10,6
486,-60,0,18,0,10,0,0,10,6
487,-60,0,18,0,20,0,0,10,6
488,-60,0,18,0,30,0,0,10,6
489,-60,45,18,0,-30,0,0,10,6
490,-60,45,18,0,-20,0,0,10,6
491,-60,45,18,0,-10,0,0,10,6
492,-60,45,18,0,0,0,0,10,6
493,-60,45,18,0,10,0,0,10,6
494,-60,45,18,0,20,0,0,10,6
495,-60,45,18,0,30,0,0,10,6
496,-45,-60,18,0,-30,0,0,10,6
497,-45,-60,18,0,-20,0,0,10,6
498,-45,-60,18,0,-10,0,0,10,6
499,-45,-60,18,0,0,0,0,10,6
500,-45,-60,18,0,10,0,0,10,6
501,-45,-60,18,0,20,0,0,10,6
502,-45,-60,18,0,30,0,0,10,6
503,-45,-30,18,0,-30,0,0,10,6
504,-45,-30,18,0,-20,0,0,10,6
505,-45,-30,18,0,-10,0,0,10,6
506,-45,-30,18,0,0,0,0,10,6
507,-45,-30,18,0,10,0,0,10,6
508,-45,-30,18,0,20,0,0,10,6
509,-45,-30,18,0,30,0,0,10,6
510,-45,0,18,0,-30,0,0,10,6
511,-45,0,18,0,-20,0,0,10,6
512,-45,0,18,0,-10,0,0,10,6
513,-45,0,18,0,0,0,0,10,6
514,-45,0,18,0,10,0,0,10,6
515,-45,0,18,0,20,0,0,10,6
516,-45,0,18,0,30,0,0,10,6
517,-45,30,18,0,-30,0,0,10,6
518,-45,30,18,0,-20,0,0,10,6
519,-45,30,18,0,-10,0,0,10,6
520,-45,30,18,0,0,0,0,10,6
521,-45,30,18,0,10,0,0,10,6
522,-45,30,18,0,20,0,0,10,6
523,-45,30,18,0,30,0,0,10,6
524,-45,60,18,0,-30,0,0,10,6
525,-45,60,18,0,-20,0,0,10,6
526,-45,60,18,0,-10,0,0,10,6
527,-45,60,18,0,0,0,0,10,6
528,-45,60,18,0,10,0,0,10,6
529,-45,60,18,0,20,0,0,10,6
530,-45,60,18,0,30,0,0,10,6
531,-30,-90,18,0,-30,0,0,10,6
532,-30,-90,18,0,-20,0,0,10,6
533,-30,-90,18,0,-10,0,0,10,6
534,-30,-90,18,0,0,0,0,10,6
535,-30,-90,18,0,10,0,0,10,6
536,-30,-90,18,0,20,0,0,10,6
537,-30,-90,18,0,30,0,0,10,6
538,-30,-60,18,0,-30,0,0,10,6
539,-30,-60,18,0,-20,0,0,10,6
540,-30,-60,18,0,-10,0,0,10,6
541,-30,-60,18,0,0,0,0,10,6
542,-30,-60,18,0,10,0,0,10,6
543,-30,-60,18,0,20,0,0,10,6
544,-30,-60,18,0,30,0,0,10,6
545,-30,-30,18,0,-30,0,0,10,6
546,-30,-30,18,0,-20,0,0,10,6
547,-30,-30,18,0,-10,0,0,10,6
548,-30,-30,18,0,0,0,0,10,6
549,-30,-30,18,0,10,0,0,10,6
550,-30,-30,18,0,20,0,0,10,6
551,-30,-30,18,0,30,0,0,10,6
552,-30,0,18,0,-30,0,0,10,6
553,-30,0,18,0,-20,0,0,10,6
554,-30,0,18,0,-10,0,0,10,6
555,-30,0,18,0,0,0,0,10,6
556,-30,0,18,0,10,0,0,10,6
557,-30,0,18,0,20,0,0,10,6
558,-30,0,18,0,30,0,0,10,6
559,-30,30,18,0,-30,0,0,10,6
560,-30,30,18,0,-20,0,0,10,6
561,-30,30,18,0,-10,0,0,10,6
562,-30,30,18,0,0,0,0,10,6
563,-30,30,18,0,10,0,0,10,6
564,-30,30,18,0,20,0,0,10,6
565,-30,30,18,0,30,0,0,10,6
566,-30,60,18,0,-30,0,0,10,6
567,-30,60,18,0,-20,0,0,10,6
568,-30,60,18,0,-10,0,0,10,6
569,-30,60,18,0,0,0,0,10,6
570,-30,60,18,0,10,0,0,10,6
571,-30,60,18,0,20,0,0,10,6
572,-30,60,18,0,30,0,0,10,6
573,-30,90,18,0,-30,0,0,10,6
574,-30,90,18,0,-20,0,0,10,6
575,-30,90,18,0,-10,0,0,10,6
576,-30,90,18,0,0,0,0,10,6
577,-30,90,18,0,10,0,0,10,6
578,-30,90,18,0,20,0,0,10,6
579,-30,90,18,0,30,0,0,10,6
580,-15,-75,18,0,-30,0,0,10,6
581,-15,-75,18,0,-20,0,0,10,6
582,-15,-75,18,0,-10,0,0,10,6
583,-15,-75,18,0,0,0,0,10,6
584,-15,-75,18,0,10,0,0,10,6
585,-15,-75,18,0,20,0,0,10,6
586,-15,-75,18,0,30,0,0,10,6
587,-15,-45,18,0,-30,0,0,10,6
588,-15,-45,18,0,-20,0,0,10,6
589,-15,-45,18,0,-10,0,0,10,6
590,-15,-45,18,0,0,0,0,10,6
591,-15,-45,18,0,10,0,0,10,6
592,-15,-45,18,0,20,0,0,10,6
593,-15,-45,18,0,30,0,0,10,6
594,-15,-15,18,0,-30,0,0,10,6
595,-15,-15,18,0,-20,0,0,10,6
596,-15,-15,18,0,-10,0,0,10,6
597,-15,-15,18,0,0,0,0,10,6
598,-15,-15,18,0,10,0,0,10,6
599,-15,-15,18,0,20,0,0,10,6
600,-15,-15,18,0,30,0,0,10,6
601,-15,15,18,0,-30,0,0,10,6
602,-15,15,18,0,-20,0,0,10,6
603,-15,15,18,0,-10,0,0,10,6
604,-15,15,18,0,0,0,0,10,6
605,-15,15,18,0,10,0,0,10,6
606,-15,15,18,0,20,0,0,10,6
607,-15,15,18,0,30,0,0,10,6
608,-15,45,18,0,-30,0,0,10,6
609,-15,45,18,0,-20,0,0,10,6
610,-15,45,18,0,-10,0,0,10,6
611,-15,45,18,0,0,0,0,10,6
612,-15,45,18,0,10,0,0,10,6
613,-15,45,18,0,20,0,0,10,6
614,0,-90,0,0,0,0,0,10,6
615,0,-75,0,0,0,0,0,10,6
616,0,-60,0,0,0,0,0,10,6
617,0,-45,0,0,0,0,0,10,6
618,0,-30,0,0,0,0,0,10,6
619,0,-15,0,0,0,0,0,10,6
620,0,0,0,0,0,0,0,10,6
621,0,15,0,0,0,0,0,10,6
622,0,30,0,0,0,0,0,10,6
623,0,45,0,0,0,0,0,10,6
624,0,60,0,0,0,0,0,10,6
625,0,75,0,0,0,0,0,10,6
626,0,90,0,0,0,0,0,10,6
627,-15,45,18,0,30,0,0,10,6
628,-15,75,18,0,-30,0,0,10,6
629,-15,75,18,0,-20,0,0,10,6
630,-15,75,18,0,-10,0,0,10,6
631,-15,75,18,0,0,0,0,10,6
632,-15,75,18,0,10,0,0,10,6
633,-15,75,18,0,20,0,0,10,6
634,-15,75,18,0,30,0,0,10,6
635,0,-90,18,0,-30,0,0,10,6
636,0,-90,18,0,-20,0,0,10,6
637,0,-90,18,0,-10,0,0,10,6
638,0,-90,18,0,0,0,0,10,6
639,0,-90,18,0,10,0,0,10,6
640,0,-90,18,0,20,0,0,10,6
