SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
4030,15,-60,24,0,0,7500,-7500,10,6
4031,15,-60,24,0,0,7500,-5625,10,6
4032,15,-60,24,0,0,7500,3750,10,6
4033,15,-60,24,0,0,7500,5625,10,6
4034,15,-60,24,0,0,7500,7500,10,6
4035,15,-60,24,0,0,11250,-7500,10,6
4036,15,-60,24,0,0,11250,-5625,10,6
4037,15,-60,24,0,0,11250,3750,10,6
4038,15,-60,24,0,0,11250,5625,10,6
4039,15,-60,24,0,0,11250,7500,10,6
4040,15,-60,24,0,0,15000,-7500,10,6
4041,15,-60,24,0,0,15000,-5625,10,6
4042,15,-60,24,0,0,15000,3750,10,6
4043,15,-60,24,0,0,15000,5625,10,6
4044,15,-60,24,0,0,15000,7500,10,6
4045,15,-30,24,0,0,-15000,-7500,10,6
4046,15,-30,24,0,0,-15000,-5625,10,6
4047,15,-30,24,0,0,-15000,3750,10,6
4048,15,-30,24,0,0,-15000,5625,10,6
4049,15,-30,24,0,0,-15000,7500,10,6
4050,15,-30,24,0,0,-11250,-7500,10,6
4051,15,-30,24,0,0,-11250,-5625,10,6
4052,15,-30,24,0,0,-11250,3750,10,6
4053,15,-30,24,0,0,-11250,5625,10,6
4054,15,-30,24,0,0,-11250,7500,10,6
4055,15,-30,24,0,0,7500,-7500,10,6
4056,15,-30,24,0,0,7500,-5625,10,6
4057,0,-90,0,0,0,0,0,10,6
4058,0,-75,0,0,0,0,0,10,6
4059,0,-60,0,0,0,0,0,10,6
4060,0,-45,0,0,0,0,0,10,6
4061,0,-30,0,0,0,0,0,10,6
4062,0,-15,0,0,0,0,0,10,6
4063,0,0,0,0,0,0,0,10,6
4064,0,15,0,0,0,0,0,10,6
4065,0,30,0,0,0,0,0,10,6
4066,0,45,0,0,0,0,0,10,6
4067,0,60,0,0,0,0,0,10,6
4068,0,75,0,0,0,0,0,10,6
4069,0,90,0,0,0,0,0,10,6
4070,15,-30,24,0,0,7500,3750,10,6
4071,15,-30,24,0,0,7500,5625,10,6
4072,15,-30,24,0,0,7500,7500,10,6
4073,15,-30,24,0,0,11250,-7500,10,6
4074,15,-30,24,0,0,11250,-5625,10,6
4075,15,-30,24,0,0,11250,3750,10,6
4076,15,-30,24,0,0,11250,5625,10,6
4077,15,-30,24,0,0,11250,7500,10,6
4078,15,-30,24,0,0,15000,-7500,10,6
4079,15,-30,24,0,0,15000,-5625,10,6
4080,15,-30,24,0,0,15000,3750,10,6
4081,15,-30,24,0,0,15000,5625,10,6
4082,15,-30,24,0,0,15000,7500,10,6
4083,15,0,24,0,0,-15000,-7500,10,6
4084,15,0,24,0,0,-15000,-5625,10,6
4085,15,0,24,0,0,-15000,3750,10,6
4086,15,0,24,0,0,-15000,5625,10,6
4087,15,0,24,0,0,-15000,7500,10,6
4088,15,0,24,0,0,-11250,-7500,10,6
4089,15,0,24,0,0,-11250,-5625,10,6
4090,15,0,24,0,0,-11250,3750,10,6
4091,15,0,24,0,0,-11250,5625,10,6
4092,15,0,24,0,0,-11250,7500,10,6
4093,15,0,24,0,0,7500,-7500,10,6
4094,15,0,24,0,0,7500,-5625,10,6
4095,15,0,24,0,0,7500,3750,10,6
4096,15,0,24,0,0,7500,5625,10,6
4097,15,0,24,0,0,7500,7500,10,6
4098,15,0,24,0,0,11250,-7500,10,6
4099,15,0,24,0,0,11250,-5625,10,6
4100,15,0,24,0,0,11250,3750,10,6
4101,15,0,24,0,0,11250,5625,10,6
4102,15,0,24,0,0,11250,7500,10,6
4103,15,0,24,0,0,15000,-7500,10,6
4104,15,0,24,0,0,15000,-5625,10,6
4105,15,0,24,0,0,15000,3750,10,6
4106,15,0,24,0,0,15000,5625,10,6
4107,15,0,24,0,0,15000,7500,10,6
4108,15,30,24,0,0,-15000,-7500,10,6
4109,15,30,24,0,0,-15000,-5625,10,6
4110,15,30,24,0,0,-15000,3750,10,6
4111,15,30,24,0,0,-15000,5625,10,6
4112,15,30,24,0,0,-15000,7500,10,6
4113,15,30,24,0,0,-11250,-7500,10,6
4114,15,30,24,0,0,-11250,-5625,10,6
4115,15,30,24,0,0,-11250,3750,10,6
4116,15,30,24,0,0,-11250,5625,10,6
4117,15,30,24,0,0,-11250,7500,10,6
4118,15,30,24,0,0,7500,-7500,10,6
4119,15,30,24,0,0,7500,-5625,10,6
4120,15,30,24,0,0,7500,3750,10,6
4121,15,30,24,0,0,7500,5625,10,6
4122,15,30,24,0,0,7500,7500,10,6
4123,15,30,24,0,0,11250,-7500,10,6
4124,15,30,24,0,0,11250,-5625,10,6
4125,15,30,24,0,0,11250,3750,10,6
4126,15,30,24,0,0,11250,5625,10,6
4127,15,30,24,0,0,11250,7500,10,6
4128,15,30,24,0,0,15000,-7500,10,6
4129,15,30,24,0,0,15000,-5625,10,6
4130,15,30,24,0,0,15000,3750,10,6
4131,15,30,24,0,0,15000,5625,10,6
4132,15,30,24,0,0,15000,7500,10,6
4133,15,60,24,0,0,-15000,-7500,10,6
4134,15,60,24,0,0,-15000,-5625,10,6
4135,15,60,24,0,0,-15000,3750,10,6
4136,15,60,24,0,0,-15000,5625,10,6
4137,15,60,24,0,0,-15000,7500,10,6
4138,15,60,24,0,0,-11250,-7500,10,6
4139,15,60,24,0,0,-11250,-5625,10,6
4140,15,60,24,0,0,-11250,3750,10,6
4141,15,60,24,0,0,-11250,5625,10,6
4142,15,60,24,0,0,-11250,7500,10,6
4143,15,60,24,0,0,7500,-7500,10,6
4144,15,60,24,0,0,7500,-5625,10,6
4145,15,60,24,0,0,7500,3750,10,6
4146,15,60,24,0,0,7500,5625,10,6
4147,15,60,24,0,0,7500,7500,10,6
4148,15,60,24,0,0,11250,-7500,10,6
4149,15,60,24,0,0,11250,-5625,10,6
4150,15,60,24,0,0,11250,3750,10,6
4151,15,60,24,0,0,11250,5625,10,6
4152,15,60,24,0,0,11250,7500,10,6
4153,15,60,24,0,0,15000,-7500,10,6
4154,15,60,24,0,0,15000,-5625,10,6
4155,15,60,24,0,0,15000,3750,10,6
4156,15,60,24,0,0,15000,5625,10,6
4157,15,60,24,0,0,15000,7500,10,6
4158,30,-90,24,0,0,-15000,-7500,10,6
4159,30,-90,24,0,0,-15000,-5625,10,6
4160,30,-90,24,0,0,-15000,3750,10,6
4161,30,-90,24,0,0,-15000,5625,10,6
4162,30,-90,24,0,0,-15000,7500,10,6
4163,30,-90,24,0,0,-11250,-7500,10,6
4164,30,-90,24,0,0,-11250,-5625,10,6
4165,30,-90,24,0,0,-11250,3750,10,6
4166,30,-90,24,0,0,-11250,5625,10,6
4167,30,-90,24,0,0,-11250,7500,10,6
4168,30,-90,24,0,0,7500,-7500,10,6
4169,30,-90,24,0,0,7500,-5625,10,6
4170,30,-90,24,0,0,7500,3750,10,6
4171,30,-90,24,0,0,7500,5625,10,6
4172,30,-90,24,0,0,7500,7500,10,6
4173,30,-90,24,0,0,11250,-7500,10,6
4174,30,-90,24,0,0,11250,-5625,10,6
4175,30,-90,24,0,0,11250,3750,10,6
4176,30,-90,24,0,0,11250,5625,10,6
4177,30,-90,24,0,0,11250,7500,10,6
4178,30,-90,24,0,0,15000,-7500,10,6
4179,30,-90,24,0,0,15000,-5625,10,6
4180,30,-90,24,0,0,15000,3750,10,6
4181,30,-90,24,0,0,15000,5625,10,6
4182,30,-90,24,0,0,15000,7500,10,6
4183,30,-45,24,0,0,-15000,-7500,10,6
4184,30,-45,24,0,0,-15000,-5625,10,6
4185,30,-45,24,0,0,-15000,3750,10,6
4186,30,-45,24,0,0,-15000,5625,10,6
4187,30,-45,24,0,0,-15000,7500,10,6
4188,30,-45,24,0,0,-11250,-7500,10,6
4189,30,-45,24,0,0,-11250,-5625,10,6
4190,30,-45,24,0,0,-11250,3750,10,6
4191,30,-45,24,0,0,-11250,5625,10,6
4192,30,-45,24,0,0,-11250,7500,10,6
4193,30,-45,24,0,0,7500,-7500,10,6
4194,30,-45,24,0,0,7500,-5625,10,6
4195,30,-45,24,0,0,7500,3750,10,6
4196,30,-45,24,0,0,7500,5625,10,6
4197,30,-45,24,0,0,7500,7500,10,6
4198,30,-45,24,0,0,11250,-7500,10,6
4199,30,-45,24,0,0,11250,-5625,10,6
4200,30,-45,24,0,0,11250,3750,10,6
4201,30,-45,24,0,0,11250,5625,10,6
4202,30,-45,24,0,0,11250,7500,10,6
4203,30,-45,24,0,0,15000,-7500,10,6
4204,30,-45,24,0,0,15000,-5625,10,6
4205,30,-45,24,0,0,15000,3750,10,6
4206,30,-45,24,0,0,15000,5625,10,6
4207,30,-45,24,0,0,15000,7500,10,6
4208,30,-15,24,0,0,-15000,-7500,10,6
4209,30,-15,24,0,0,-15000,-5625,10,6
4210,30,-15,24,0,0,-15000,3750,10,6
4211,30,-15,24,0,0,-15000,5625,10,6
4212,30,-15,24,0,0,-15000,7500,10,6
4213,30,-15,24,0,0,-11250,-7500,10,6
4214,30,-15,24,0,0,-11250,-5625,10,6
4215,30,-15,24,0,0,-11250,3750,10,6
4216,30,-15,24,0,0,-11250,5625,10,6
4217,30,-15,24,0,0,-11250,7500,10,6
4218,30,-15,24,0,0,7500,-7500,10,6
4219,30,-15,24,0,0,7500,-5625,10,6
4220,30,-15,24,0,0,7500,3750,10,6
4221,30,-15,24,0,0,7500,5625,10,6
4222,30,-15,24,0,0,7500,7500,10,6
4223,30,-15,24,0,0,11250,-7500,10,6
4224,30,-15,24,0,0,11250,-5625,10,6
4225,30,-15,24,0,0,11250,3750,10,6
4226,30,-15,24,0,0,11250,5625,10,6
4227,30,-15,24,0,0,11250,7500,10,6
4228,30,-15,24,0,0,15000,-7500,10,6
